Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2008,Humberto Sosa,CIN,LEVEL,22,3,7,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,sa454224
2009,Humberto Sosa,CIN,LEVEL,23,80,292,323,76,51,21,0,4,34,37,29,0,50,1,0,1,10,1,1,0.26027397,sa454224
2009,Luis Salas,DET,LEVEL,20,74,254,271,61,42,11,4,4,33,27,11,0,96,4,2,0,4,6,3,0.24015748,sa454333
2010,Luis Salas,DET,LEVEL,21,31,103,111,15,9,6,0,0,6,8,5,0,32,1,1,1,5,1,0,0.14563107,sa454333
2010,Anthony Hewitt,PHI,LEVEL,21,116,440,465,89,59,16,3,11,47,49,13,0,158,11,1,0,8,10,6,0.20227273,sa454381
2011,Anthony Hewitt,PHI,LEVEL,22,119,454,480,109,68,21,6,14,62,55,17,2,149,9,0,0,7,36,5,0.24008811,sa454381
2009,Zach Collier,PHI,LEVEL,18,82,298,326,65,42,16,7,0,40,32,23,0,80,1,2,2,2,13,7,0.21812081,sa454396
2011,Zach Collier,PHI,LEVEL,20,112,416,471,106,75,24,6,1,50,36,40,0,99,7,4,4,6,35,13,0.25480769,sa454396
2012,Cutter Dykstra,WSN,LEVEL,23,110,436,492,127,91,28,1,7,62,64,43,0,83,10,3,0,13,32,3,0.2912844,sa454428
2009,Cutter Dykstra,MIL,LEVEL,20,29,99,113,21,15,4,1,1,16,7,12,0,27,2,0,0,1,4,2,0.21212121,sa454428
2010,Cutter Dykstra,MIL,LEVEL,21,100,353,420,110,90,10,5,5,66,39,55,1,72,8,0,4,3,27,8,0.31161473,sa454428
2009,Jay Austin,HOU,LEVEL,18,101,397,435,106,77,22,6,1,49,33,31,1,78,0,0,7,7,23,13,0.26700252,sa454430
2011,Jay Austin,HOU,LEVEL,20,32,123,144,25,18,7,0,0,9,16,13,0,32,5,2,1,2,6,2,0.20325203,sa454430
2012,Jay Austin,HOU,LEVEL,21,15,51,59,13,11,1,1,0,7,4,7,1,4,1,0,0,2,5,0,0.25490196,sa454430
2009,Kenny Wilson,TOR,LEVEL,19,87,321,373,68,49,12,3,4,51,27,35,0,99,11,5,1,2,37,12,0.21183801,sa454437
2010,Kenny Wilson,TOR,LEVEL,20,95,361,426,78,64,10,4,0,54,22,51,0,112,8,0,6,5,35,11,0.21606648,sa454437
2012,Kenny Wilson,TOR,LEVEL,22,94,349,421,88,65,13,6,4,68,40,44,0,75,17,4,7,6,41,8,0.252149,sa454437
2010,Dennis Raben,SEA,LEVEL,22,42,149,175,33,16,8,1,8,26,23,15,1,49,8,3,0,3,0,1,0.22147651,sa454440
2011,Javier Rodriguez,NYM,LEVEL,21,26,86,95,18,10,3,1,4,10,4,9,0,15,0,0,0,1,0,1,0.20930233,sa454442
2009,Jake Jefferies,TBR,LEVEL,21,116,440,490,115,89,17,1,8,54,50,37,0,35,7,3,3,12,7,2,0.26136364,sa454447
2013,Chase Davidson,HOU,LEVEL,23,10,42,45,10,6,3,0,1,5,5,2,0,21,1,0,0,0,1,2,0.23809524,sa454457
2008,Petey Paramore,OAK,LEVEL,21,31,102,126,23,14,8,0,1,14,14,22,1,30,1,0,1,4,0,0,0.2254902,sa454459
2009,Petey Paramore,OAK,LEVEL,22,101,326,389,75,62,9,0,4,33,36,55,3,55,3,3,1,12,1,2,0.23006135,sa454459
2008,Niko Vasquez,STL,LEVEL,19,11,39,45,5,4,1,0,0,6,3,4,0,17,0,1,1,0,0,0,0.12820513,sa454460
2009,Niko Vasquez,STL,LEVEL,20,61,208,244,41,33,6,1,1,27,14,28,0,58,2,3,3,6,2,2,0.19711538,sa454460
2010,Niko Vasquez,STL,LEVEL,21,73,252,319,61,34,17,1,9,36,42,55,0,71,5,6,1,1,1,3,0.24206349,sa454460
2008,B.J. Dubarry,SDP,LEVEL,25,8,21,25,2,2,0,0,0,0,1,4,0,8,0,0,0,0,0,0,0.0952381,sa454463
2009,Kyle Russell,LAD,LEVEL,23,133,481,563,131,59,39,7,26,90,102,72,4,180,6,4,0,0,20,2,0.27234927,sa454496
2012,Zach Cone,TEX,LEVEL,22,112,432,475,113,65,27,4,17,66,64,39,0,110,3,1,0,6,10,0,0.26157407,sa454512
2014,Zach Cone,TEX,LEVEL,24,31,107,125,23,15,5,0,3,17,13,10,0,29,7,1,0,1,1,2,0.21495327,sa454512
2010,Ty Morrison,TBR,LEVEL,19,131,452,512,113,73,21,13,6,65,56,43,0,133,7,1,9,6,58,10,0.25,sa454513
2009,Braeden Schlehuber,ATL,LEVEL,21,100,351,388,70,42,23,0,5,41,37,18,0,59,14,2,3,7,5,1,0.1994302,sa454529
2010,Braeden Schlehuber,ATL,LEVEL,22,48,154,173,34,27,6,0,1,17,15,6,0,20,8,2,3,4,2,2,0.22077922,sa454529
2010,Matt Cerda,CHC,LEVEL,20,124,451,532,122,90,21,6,5,79,80,68,2,68,3,7,3,8,4,1,0.27050998,sa454530
2009,Sean Ratliff,NYM,LEVEL,22,122,468,509,124,74,28,7,15,64,68,31,2,131,4,6,0,4,11,6,0.26495726,sa454533
2008,Ryne White,ARI,LEVEL,21,12,53,57,19,13,6,0,0,6,13,4,0,10,0,0,0,2,0,0,0.35849057,sa454538
2009,Peter Hissey,BOS,LEVEL,19,106,369,425,103,84,13,6,0,50,37,39,0,88,7,4,6,4,22,9,0.27913279,sa454542
2009,Michael Sheridan,TBR,LEVEL,21,122,442,486,105,70,16,5,14,51,57,26,1,38,2,8,8,9,4,2,0.23755656,sa454543
2009,Ben Guez,DET,LEVEL,22,104,404,438,111,58,34,7,12,64,64,18,0,95,10,3,3,7,11,4,0.27475248,sa454544
2009,Erik Wetzel,COL,LEVEL,22,13,40,52,12,12,0,0,0,7,2,8,0,6,0,0,4,1,6,0,0.3,sa454548
2009,Greg Miclat,BAL,LEVEL,21,111,400,454,91,75,14,2,0,49,22,42,1,79,0,3,9,6,25,6,0.2275,sa454552
2009,Jeremy Farrell,PIT,LEVEL,22,73,270,312,67,48,13,1,5,42,39,30,2,71,8,4,0,6,1,2,0.24814815,sa454554
2010,Dock Doyle,NYM,LEVEL,24,55,178,207,41,37,4,0,0,20,14,27,0,21,2,0,0,5,1,2,0.23033708,sa454558
2009,Marcus Jones,WSN,LEVEL,22,9,34,38,6,6,0,0,0,3,1,3,0,8,0,1,0,2,0,0,0.17647059,sa454562
2010,Marcus Jones,WSN,LEVEL,23,56,186,197,38,26,6,2,4,21,13,8,0,71,2,0,1,7,2,0,0.20430108,sa454562
2009,Clark Murphy,TEX,LEVEL,19,33,110,125,24,18,6,0,0,11,12,11,0,23,0,3,1,2,0,0,0.21818182,sa454571
2011,Clark Murphy,TEX,LEVEL,21,9,30,34,4,4,0,0,0,1,0,4,0,10,0,0,0,0,0,1,0.13333333,sa454571
2012,Clark Murphy,SDP,LEVEL,22,17,61,68,10,9,0,0,1,9,4,5,0,24,1,0,1,2,2,0,0.16393443,sa454571
2008,Jason Christian,OAK,LEVEL,21,6,25,25,8,7,1,0,0,3,1,0,0,8,0,0,0,0,0,0,0.32,sa454572
2009,Jason Christian,OAK,LEVEL,22,86,330,378,86,63,12,4,7,51,46,41,0,69,1,3,3,4,28,3,0.26060606,sa454572
2010,Jason Christian,OAK,LEVEL,23,58,213,235,59,40,13,2,4,31,32,17,3,56,1,3,1,2,11,2,0.27699531,sa454572
2009,Adam Abraham,CLE,LEVEL,22,104,339,388,87,56,23,2,6,38,31,36,0,59,5,3,5,13,4,4,0.25663717,sa454574
2010,Adam Abraham,CLE,LEVEL,23,114,402,443,106,66,26,1,13,50,61,34,0,75,6,1,0,10,6,2,0.26368159,sa454574
2009,Nate Recknagel,CLE,LEVEL,23,92,336,399,94,56,21,4,13,46,67,49,4,73,8,5,1,12,2,4,0.2797619,sa454575
2009,Alden Carrithers,DET,LEVEL,24,45,150,181,46,40,3,3,0,29,19,24,2,22,0,3,4,4,9,5,0.30666667,sa454577
2009,Ryan Babineau,ARI,LEVEL,22,10,32,39,4,1,2,1,0,4,1,7,1,13,0,0,0,0,0,0,0.125,sa454578
2010,Ryan Babineau,ARI,LEVEL,23,11,37,40,7,5,2,0,0,1,3,3,0,11,0,0,0,1,0,0,0.18918919,sa454578
2009,Nicholas Romero,MIN,LEVEL,21,31,108,131,24,19,2,1,2,18,14,16,0,29,2,3,2,1,4,1,0.22222222,sa454579
2009,Troy Hanzawa,PHI,LEVEL,23,126,423,472,113,85,23,3,2,50,47,24,1,100,15,5,5,5,9,11,0.26713948,sa454580
2009,Corey Kemp,MIL,LEVEL,23,108,373,434,105,70,31,0,4,54,56,54,2,73,4,3,0,9,3,4,0.28150134,sa454588
2009,Jason Corder,TBR,LEVEL,23,56,201,221,46,23,19,1,3,18,30,14,0,30,5,0,1,4,1,1,0.22885572,sa454590
2009,Travis Howell,SEA,LEVEL,24,66,210,249,43,25,10,0,8,29,29,27,0,61,4,3,5,6,2,0,0.2047619,sa454591
2009,Jason Tweedy,TBR,LEVEL,22,88,288,326,56,38,14,4,0,32,16,31,0,61,0,4,3,9,7,3,0.19444444,sa454593
2009,Roberto Lopez,LAA,LEVEL,23,94,354,420,96,67,18,0,11,61,67,40,2,52,17,8,1,8,5,7,0.27118644,sa454598
2008,Jose Lozada,WSN,LEVEL,22,58,224,247,48,32,11,2,3,28,21,14,0,47,2,2,5,6,2,5,0.21428571,sa454600
2009,Jose Lozada,WSN,LEVEL,23,49,186,205,46,37,8,1,0,26,5,14,1,34,2,1,2,5,4,1,0.24731183,sa454600
2009,Jeremie Tice,CLE,LEVEL,22,65,239,273,64,44,16,1,3,31,30,30,0,65,2,1,1,8,2,2,0.26778243,sa454601
2010,Jeremie Tice,CLE,LEVEL,23,66,245,274,69,40,19,1,9,31,51,19,1,59,5,3,2,4,1,0,0.28163265,sa454601
2009,Michael Harrington,MIN,LEVEL,23,107,373,406,85,49,31,1,4,44,46,30,2,98,1,1,1,9,3,1,0.22788204,sa454602
2010,Michael Harrington,MIN,LEVEL,24,16,51,59,14,9,4,0,1,8,9,6,0,11,1,1,0,0,0,0,0.2745098,sa454602
2009,Ronnie Labrie,WSN,LEVEL,22,21,77,86,16,9,5,2,0,7,6,7,0,29,2,0,0,2,0,2,0.20779221,sa454606
2009,Phil Disher,HOU,LEVEL,24,39,128,148,20,14,2,0,4,12,17,18,0,51,1,1,0,3,0,0,0.15625,sa454608
2008,Gabe Jacobo,LAA,LEVEL,21,34,125,133,40,24,12,1,3,15,24,2,0,25,3,3,0,1,5,0,0.32,sa454609
2009,Gabe Jacobo,LAA,LEVEL,22,118,440,489,113,67,27,9,10,59,72,31,0,84,11,7,0,11,6,8,0.25681818,sa454609
2009,Ryan Blair,CLE,LEVEL,23,17,64,67,17,13,3,0,1,8,2,3,0,20,0,0,0,0,0,1,0.265625,sa454612
2009,Jeremy Hamilton,PHI,LEVEL,22,88,294,340,75,56,12,3,4,26,32,38,0,73,3,2,3,5,2,0,0.25510204,sa454616
2009,Justin Parker,ARI,LEVEL,22,91,322,379,81,52,23,2,4,46,45,49,2,77,2,5,0,7,0,2,0.2515528,sa454617
2009,Derrick Alfonso,MIL,LEVEL,23,7,21,24,6,5,1,0,0,1,2,2,0,7,0,1,0,0,1,1,0.28571429,sa454620
2009,Michael Diaz,HOU,LEVEL,22,89,320,343,77,62,11,1,3,22,31,15,0,46,6,1,1,9,6,3,0.240625,sa454692
2010,Rene Garcia,HOU,LEVEL,20,84,309,333,81,68,10,1,2,20,35,16,1,35,3,4,1,6,5,2,0.26213592,sa454693
2011,Daniel Killian,SDP,LEVEL,22,14,46,50,6,3,2,0,1,3,2,3,0,24,1,0,0,0,2,1,0.13043478,sa454694
2009,James Keithley,WSN,LEVEL,22,38,127,152,29,25,4,0,0,17,10,22,0,41,1,0,2,2,1,2,0.22834646,sa454696
2010,David Rubinstein,PIT,LEVEL,23,113,433,480,125,82,37,3,3,54,50,31,0,95,10,5,1,10,23,9,0.2886836,sa454697
2010,Kevin Dubler,CHW,LEVEL,23,51,157,188,31,25,4,0,2,27,13,27,0,25,2,0,2,1,2,1,0.19745223,sa454701
2011,Kevin Dubler,CHW,LEVEL,24,52,175,196,44,29,10,2,3,24,15,18,0,34,2,1,0,3,2,1,0.25142857,sa454701
2012,Kevin Dubler,CHW,LEVEL,25,10,35,41,8,5,1,0,2,3,5,5,0,1,0,1,0,1,0,0,0.22857143,sa454701
2009,Kyle Morgan,PIT,LEVEL,22,43,159,188,47,26,12,0,9,34,32,20,0,38,4,3,1,1,1,0,0.29559748,sa454702
2010,Kyle Morgan,PIT,LEVEL,23,87,295,328,60,28,16,5,11,38,36,21,0,102,11,1,0,5,3,1,0.20338983,sa454702
2009,Joey Railey,SDP,LEVEL,23,3,6,7,0,0,0,0,0,1,1,1,0,3,0,0,0,0,1,1,0,sa454703
2011,Alex Llanos,KCR,LEVEL,20,85,346,368,85,61,18,1,5,40,30,14,1,83,1,3,4,3,13,7,0.24566474,sa454706
2012,Alex Llanos,KCR,LEVEL,21,68,261,277,73,59,12,1,1,30,23,9,0,47,3,3,1,4,8,7,0.27969349,sa454706
2013,Alex Llanos,CHW,LEVEL,22,10,31,34,2,1,1,0,0,3,2,2,0,6,1,0,0,0,1,0,0.06451613,sa454706
2008,Jacob Priday,HOU,LEVEL,22,24,77,89,17,10,5,1,1,6,9,8,0,38,3,1,0,2,0,0,0.22077922,sa454708
2009,Kenneth Williams,CHW,LEVEL,23,81,302,328,77,53,17,3,4,41,27,21,0,87,4,0,1,2,7,3,0.25496689,sa454712
2009,Rob Musgrave,SDP,LEVEL,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa454714
2011,Tyreace House,OAK,LEVEL,23,108,348,404,66,59,7,0,0,46,27,43,0,81,4,2,7,8,27,6,0.18965517,sa454727
2010,Tyreace House,OAK,LEVEL,22,121,424,543,104,90,10,3,1,83,32,96,0,88,12,4,7,9,37,13,0.24528302,sa454727
2009,Tony Delmonico,LAD,LEVEL,22,100,365,428,104,71,22,2,9,53,43,46,0,86,13,2,2,13,5,0,0.28493151,sa454730
2009,Jose Duran,MIL,LEVEL,22,90,298,333,66,51,7,8,0,31,27,28,0,88,4,2,1,7,16,7,0.22147651,sa454735
2010,Luke Anders,SFG,LEVEL,23,130,501,552,143,96,29,4,14,71,62,43,1,147,1,5,2,6,1,4,0.28542914,sa454737
2010,Brian Ruggiano,LAD,LEVEL,24,108,373,423,95,60,24,5,6,50,48,34,0,89,7,6,3,2,15,12,0.25469169,sa454739
2009,Markus Brisker,TOR,LEVEL,18,40,105,116,12,11,1,0,0,7,2,10,0,35,0,1,0,1,12,4,0.11428571,sa454740
2010,Markus Brisker,TOR,LEVEL,19,6,18,21,3,3,0,0,0,0,0,3,0,5,0,0,0,0,0,1,0.16666667,sa454740
2011,Markus Brisker,TOR,LEVEL,20,97,348,413,81,54,18,4,5,72,33,55,1,112,9,1,0,2,24,8,0.23275862,sa454740
2012,Markus Brisker,TOR,LEVEL,21,48,156,183,30,21,6,2,1,23,14,19,0,46,5,1,2,3,18,3,0.19230769,sa454740
2009,Charlie Cutler,STL,LEVEL,22,66,242,278,85,69,11,1,4,36,44,24,3,25,5,7,0,2,1,1,0.35123967,sa454748
2009,Kiel Roling,COL,LEVEL,22,94,344,388,114,66,26,2,20,54,66,39,3,92,2,2,1,4,0,2,0.33139535,sa454751
2009,Bengie Gonzalez,PIT,LEVEL,19,3,12,14,3,2,1,0,0,2,1,1,0,1,0,0,1,0,0,1,0.25,sa454764
2010,Bengie Gonzalez,PIT,LEVEL,20,122,406,460,96,82,12,1,1,40,35,35,0,71,3,2,14,7,18,14,0.2364532,sa454764
2012,Jason Esposito,BAL,LEVEL,21,123,473,512,99,79,13,2,5,52,51,26,0,113,8,4,1,10,8,3,0.20930233,sa454765
2014,Aaron King,BOS,LEVEL,25,3,11,11,1,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0.09090909,sa454767
2009,Paul Gran,FLA,LEVEL,23,118,449,515,117,87,24,2,4,67,48,50,0,91,10,5,1,10,12,3,0.26057906,sa454768
2009,Jim Murphy,PHI,LEVEL,23,114,398,481,111,67,27,3,14,55,67,59,0,131,19,5,0,9,0,3,0.27889447,sa454769
2011,Jim Murphy,PHI,LEVEL,25,129,463,537,124,66,35,1,22,64,77,59,4,123,11,4,0,5,1,0,0.26781857,sa454769
2009,C.J. Ziegler,SFG,LEVEL,23,31,117,127,27,19,8,0,0,11,10,8,0,23,0,2,0,4,0,1,0.23076923,sa454779
2008,Aaron Luna,STL,LEVEL,21,21,64,82,15,6,2,1,6,11,12,13,0,19,5,0,0,1,1,0,0.234375,sa454788
2009,Aaron Luna,STL,LEVEL,22,6,16,23,2,1,1,0,0,5,1,5,0,5,2,0,0,0,2,0,0.125,sa454788
2008,Luis Flores,CHC,LEVEL,21,33,106,126,20,17,1,1,1,6,13,12,0,19,4,2,2,3,1,3,0.18867925,sa454795
2009,Luis Flores,CHC,LEVEL,22,18,48,64,10,2,6,0,2,7,4,12,0,11,2,0,2,2,0,1,0.20833333,sa454795
2010,Luis Flores,CHC,LEVEL,23,40,134,153,29,18,7,0,4,14,18,14,0,26,2,2,1,3,0,0,0.21641791,sa454795
2009,Donnie Webb,CLE,LEVEL,23,122,471,525,136,100,17,12,7,69,57,40,2,110,6,2,6,6,35,9,0.28874735,sa454797
2008,Rebel Ridling,CHC,LEVEL,22,45,165,180,33,16,7,0,10,21,35,8,0,50,5,2,0,4,1,0,0.2,sa454798
2009,Rebel Ridling,CHC,LEVEL,23,136,536,586,166,115,34,1,16,74,97,40,3,95,3,7,0,14,2,1,0.30970149,sa454798
2009,Mitchl LeVier,OAK,LEVEL,21,35,122,136,30,21,7,0,2,18,18,7,0,25,3,3,1,2,3,0,0.24590164,sa454850
2010,Mitchl LeVier,OAK,LEVEL,22,25,96,105,30,20,6,1,3,17,21,9,0,23,0,0,0,0,1,0,0.3125,sa454850
2009,David Thomas,OAK,LEVEL,22,36,139,156,38,28,5,1,4,26,13,13,0,21,2,1,1,1,7,4,0.27338129,sa454851
2009,Raymond Kruml,NYY,LEVEL,23,100,382,415,94,73,15,4,2,53,35,26,0,100,3,3,1,3,23,5,0.2460733,sa454860
2010,Raymond Kruml,NYY,LEVEL,24,51,184,197,48,38,9,1,0,21,11,7,1,35,3,1,2,1,12,2,0.26086957,sa454860
2009,Nick Arata,WSN,LEVEL,22,87,288,328,68,57,9,2,0,42,22,25,0,66,14,1,0,5,9,2,0.23611111,sa454865
2009,Michael Marseco,MIL,LEVEL,22,93,322,357,61,47,9,5,0,30,26,22,0,54,0,1,12,6,9,5,0.18944099,sa454869
2010,Michael Marseco,MIL,LEVEL,23,126,417,472,92,67,17,8,0,47,44,29,1,83,2,3,21,5,10,9,0.2206235,sa454869
2009,Evan LeBlanc,NYM,LEVEL,22,43,131,148,26,20,5,0,1,16,14,12,0,30,3,1,1,3,4,0,0.19847328,sa454872
2010,Matt Long,LAA,LEVEL,23,125,466,553,142,96,30,12,4,87,74,59,0,67,5,9,14,8,23,9,0.30472103,sa454873
2009,John Delaney,MIL,LEVEL,23,70,237,283,49,31,17,0,1,19,22,36,0,77,7,1,2,2,3,4,0.20675105,sa454878
2008,Michael Vass,MIL,LEVEL,23,9,22,26,2,1,0,0,1,2,4,4,0,7,0,0,0,0,0,0,0.09090909,sa454880
2009,Michael Vass,MIL,LEVEL,24,91,292,324,70,43,19,1,7,36,36,26,0,83,3,2,1,3,3,1,0.23972603,sa454880
2009,Jonathan Hee,BOS,LEVEL,23,26,80,90,16,12,3,1,0,11,11,7,0,20,3,0,0,5,0,1,0.2,sa454891
2010,Michael Crouse,TOR,LEVEL,19,28,88,105,19,10,5,2,2,11,9,14,0,35,1,1,1,1,5,2,0.21590909,sa454895
2011,Michael Crouse,TOR,LEVEL,20,101,364,421,95,50,26,5,14,73,55,44,2,113,9,4,0,7,38,8,0.26098901,sa454895
2012,Michael Crouse,TOR,LEVEL,21,36,124,141,24,17,3,0,4,18,15,15,0,44,1,1,0,2,6,2,0.19354839,sa454895
2009,Adam Younger,LAA,LEVEL,23,84,281,333,64,44,13,3,4,30,39,27,1,100,15,5,5,2,5,5,0.22775801,sa454900
2010,Adam Younger,LAA,LEVEL,24,23,77,85,12,7,2,0,3,10,11,8,0,24,0,0,0,2,0,1,0.15584416,sa454900
2008,Ryan Groth,LAA,LEVEL,21,20,85,89,19,11,3,2,3,11,10,3,0,22,1,0,0,0,4,4,0.22352941,sa454901
2009,Ryan Groth,LAA,LEVEL,22,26,77,85,15,8,4,1,2,10,9,6,1,27,2,0,0,2,2,0,0.19480519,sa454901
2010,Karim Turkamani,TOR,LEVEL,23,38,107,119,27,24,2,0,1,8,9,8,1,32,1,1,1,2,0,1,0.25233645,sa454904
2009,Mike Zuanich,COL,LEVEL,22,42,138,170,50,30,12,1,7,23,34,20,1,36,6,5,1,0,1,1,0.36231884,sa454907
2010,Mike Zuanich,COL,LEVEL,23,9,34,38,13,8,4,0,1,2,10,3,0,11,1,0,0,0,1,1,0.38235294,sa454907
2010,Brad McElroy,TOR,LEVEL,24,52,194,218,64,43,14,3,4,37,22,21,2,34,3,0,0,4,12,1,0.32989691,sa454908
2009,Shayne Moody,ATL,LEVEL,24,84,298,332,78,68,9,0,1,37,28,22,0,43,4,1,7,5,11,8,0.26174497,sa454910
2009,Bryan Kervin,TOR,LEVEL,24,8,23,27,3,3,0,0,0,2,2,3,0,6,1,0,0,0,1,0,0.13043478,sa454911
2010,Brett Basham,SDP,LEVEL,23,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,sa454915
2009,Michael Guerrero,WSN,LEVEL,22,89,296,335,60,44,9,2,5,28,33,27,0,73,7,3,2,12,2,0,0.2027027,sa454916
2009,Justin McClanahan,TOR,LEVEL,23,109,383,437,100,66,20,1,13,61,55,25,0,113,16,6,1,6,11,7,0.26109661,sa454918
2010,Jeff Lanning,PHI,LEVEL,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa454930
2011,Jeff Lanning,PHI,LEVEL,24,43,123,139,32,19,8,0,5,23,12,11,0,30,3,1,1,2,2,0,0.2601626,sa454930
2009,Jeff Lanning,MIN,LEVEL,22,52,164,184,41,29,9,1,2,18,17,15,0,39,0,3,2,7,2,0,0.25,sa454930
2010,T.J. Baxter,BAL,LEVEL,24,106,404,459,98,70,16,4,8,64,34,41,0,118,5,3,6,4,34,13,0.24257426,sa454931
2009,Nate Tenbrink,SEA,LEVEL,22,126,457,527,129,88,24,7,10,76,59,47,1,104,10,7,6,2,14,4,0.28227571,sa454946
2009,Byron Wiley,CIN,LEVEL,22,110,382,466,105,63,25,5,12,62,64,76,0,114,3,5,0,7,9,6,0.27486911,sa454947
2010,Byron Wiley,CIN,LEVEL,23,19,67,85,14,8,2,0,4,11,9,15,1,22,2,0,1,0,2,0,0.20895522,sa454947
2008,Christopher Jackson,HOU,LEVEL,21,23,86,94,21,16,2,2,1,10,7,6,0,24,2,0,0,1,6,2,0.24418605,sa454963
2009,Christopher Jackson,HOU,LEVEL,22,41,152,168,30,25,3,2,0,10,11,9,0,44,4,2,1,6,3,5,0.19736842,sa454963
2009,Jared Bolden,TEX,LEVEL,22,107,369,416,88,73,11,3,1,62,34,38,1,89,1,4,4,7,14,4,0.23848238,sa454964
2010,Jared Bolden,TEX,LEVEL,23,58,218,244,64,43,12,2,7,34,37,18,0,45,2,3,3,6,4,8,0.29357798,sa454964
2011,Kevin Torres,TEX,LEVEL,21,2,8,8,4,3,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0.5,sa454965
2012,Kevin Torres,TEX,LEVEL,22,64,212,233,50,39,10,0,1,21,24,12,0,41,2,5,2,10,0,0,0.23584906,sa454965
2013,Kevin Torres,TEX,LEVEL,23,28,102,109,24,17,6,0,1,7,8,2,0,20,4,0,1,1,0,0,0.23529412,sa454965
2014,Kevin Torres,TEX,LEVEL,24,30,106,117,24,16,4,0,4,15,12,7,0,25,2,1,1,2,0,0,0.22641509,sa454965
2015,Kevin Torres,TEX,LEVEL,25,23,69,77,13,8,3,0,2,6,7,8,1,11,0,0,0,2,0,0,0.1884058,sa454965
2009,Erik Morrison,TEX,LEVEL,23,94,353,398,105,52,32,3,18,55,66,31,1,80,10,3,1,3,10,5,0.29745042,sa454966
2009,Anthony Scelfo,TBR,LEVEL,22,125,484,540,118,87,18,5,8,61,52,41,0,106,6,6,3,8,12,11,0.24380165,sa454967
2009,Cody Puckett,CIN,LEVEL,22,125,482,538,127,72,35,1,19,76,67,39,2,138,7,5,5,6,19,1,0.26348548,sa454975
2009,Dan Brewer,NYY,LEVEL,21,58,201,241,65,42,18,3,2,38,25,33,0,49,5,1,1,8,9,5,0.32338308,sa454991
2009,Justin Bass,FLA,LEVEL,23,99,337,363,87,54,17,2,14,45,57,17,0,89,7,1,1,7,8,4,0.25816024,sa454993
2010,Justin Bass,FLA,LEVEL,24,103,388,433,93,51,21,2,19,59,50,27,0,98,15,3,0,17,9,3,0.23969072,sa454993
2009,J.D. Alfaro,KCR,LEVEL,21,27,101,108,17,14,2,0,1,9,2,5,0,21,0,1,1,2,3,1,0.16831683,sa454996
2010,J.D. Alfaro,KCR,LEVEL,22,28,109,116,21,11,6,1,3,11,13,4,0,34,0,0,3,1,2,4,0.19266055,sa454996
2009,Kyle Conley,STL,LEVEL,22,15,45,51,9,6,3,0,0,5,1,3,0,17,2,1,0,0,0,0,0.2,sa454999
2010,Kyle Conley,STL,LEVEL,23,8,26,28,5,3,0,1,1,2,2,2,0,8,0,0,0,1,0,0,0.19230769,sa454999
2011,Kyle Conley,STL,LEVEL,24,20,68,75,15,8,3,1,3,8,7,7,0,23,0,0,0,2,0,0,0.22058824,sa454999
2009,Michael Hollander,TEX,LEVEL,23,94,355,410,86,67,15,1,3,44,35,29,0,68,7,6,13,7,6,5,0.24225352,sa455004
2008,Jake Opitz,CHC,LEVEL,21,42,127,140,18,12,6,0,0,13,1,8,0,25,3,0,2,2,3,1,0.14173228,sa455006
2009,Mitch Abeita,NYY,LEVEL,23,74,249,288,56,39,12,1,4,28,32,31,0,58,5,1,2,10,1,0,0.2248996,sa455009
2009,J.R. Higley,WSN,LEVEL,21,11,40,46,12,6,3,1,2,7,6,4,0,12,2,0,0,0,0,0,0.3,sa455010
2010,J.R. Higley,WSN,LEVEL,22,35,116,133,27,17,8,0,2,22,16,13,0,46,0,3,1,1,1,3,0.23275862,sa455010
2012,J.R. Higley,WSN,LEVEL,24,38,130,148,30,22,6,0,2,19,12,16,0,38,0,1,1,4,1,2,0.23076923,sa455010
2013,J.R. Higley,WSN,LEVEL,25,15,51,58,12,9,2,1,0,7,5,4,0,12,3,0,0,3,1,1,0.23529412,sa455010
2010,Luis Mateo,STL,LEVEL,20,99,358,409,89,58,22,5,4,60,36,39,0,100,8,1,3,9,10,8,0.24860335,sa455015
2011,Luis Mateo,STL,LEVEL,21,3,11,12,4,4,0,0,0,3,2,1,0,2,0,0,0,0,0,0,0.36363636,sa455015
2012,Luis Mateo,STL,LEVEL,22,113,405,445,104,66,22,4,12,70,64,27,0,105,7,3,3,8,18,6,0.25679012,sa455015
2009,Jack Cawley,STL,LEVEL,23,30,99,119,22,15,5,0,2,11,13,14,1,24,2,3,1,1,0,0,0.22222222,sa455016
2009,Chris Swauger,STL,LEVEL,22,31,115,126,34,18,10,2,4,28,22,9,0,23,2,0,0,5,2,1,0.29565217,sa455020
2009,Brett Lilley,STL,LEVEL,23,60,205,254,47,36,9,1,1,35,17,32,0,44,13,1,3,2,1,1,0.22926829,sa455023
